,track_title,artists,popularity,uri,duration
0,bright side of the moon,['Christian French'],47,spotify:track:5r4G5w8ujwefEnrCT5uzoX,190661
1,TV Dream,['Larkins'],0,spotify:track:52zQtUaYzFCHWP7Jzi24pz,226666
2,Share Your Address,['Ben Platt'],54,spotify:track:74IgSPXYXx7v95NpCzGgsW,182466
3,Power Over Me,['Dermot Kennedy'],74,spotify:track:4tViDtaHuSLnh7HVJTrKhs,206960
4,Preacher Man,['THE DRIVER ERA'],52,spotify:track:0oeW7qeQnBULDmDWsq4w5o,219389
5,Killer Queen,['5 Seconds of Summer'],53,spotify:track:0SA903LGHxe4ExdRY2SqVH,199357
6,The Edge,['Panicland'],12,spotify:track:3V7fPYLX3zQB2c0h5GGVoK,212310
7,It's Alright,['Mother Mother'],62,spotify:track:1NCZMAnGrzUmpBzkBlJjNw,175000
8,Blinding Lights,['The Weeknd'],91,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200040
9,Dying in LA,['Panic! At The Disco'],56,spotify:track:18xmRkPWE0sGUzFyNNAAhN,229053
10,All My Friends,"['Hoodie Allen', 'State Champs']",46,spotify:track:3IyWX691xysUXejrMif21g,198999
11,If the World Was Ending (feat. Julia Michaels),"['JP Saxe', 'Julia Michaels']",78,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,208687
12,Let's Fall in Love for the Night,['FINNEAS'],12,spotify:track:7kQkmyoHCEqwe7QwDbkSXM,190348
13,I Lost a Friend,['FINNEAS'],3,spotify:track:49MMefftWPcltNP4OOJGSs,237020
14,Break My Heart Again,['FINNEAS'],11,spotify:track:2is19a6HY7ZdWP654IMhEE,238012
15,Roaring 20s,['Panic! At The Disco'],60,spotify:track:0wdV94AXGRphrbkDWLNzVC,186600
16,Idk,['THE DLX'],38,spotify:track:6llVxshZN6xXIIEa1N8vYF,191829
17,IDK You Yet,['Alexander 23'],9,spotify:track:47EWMOElkkbMp5m9SBkx7d,184638
18,21st Century Machine,['Catie Turner'],42,spotify:track:45BnLP9VBDtunsiwFUgvq4,231551
19,Trampoline,['The Unlikely Candidates'],46,spotify:track:3geJxU83R4EzSjIymcXSt2,210590
