,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.648,0.792,11,-5.881,0,0.0597,0.0223,0.0,0.227,0.629,147.88,audio_features,5r4G5w8ujwefEnrCT5uzoX,spotify:track:5r4G5w8ujwefEnrCT5uzoX,https://api.spotify.com/v1/tracks/5r4G5w8ujwefEnrCT5uzoX,https://api.spotify.com/v1/audio-analysis/5r4G5w8ujwefEnrCT5uzoX,190661,4
1,0.419,0.711,10,-4.136,0,0.0495,0.00929,0.0,0.14,0.411,98.632,audio_features,52zQtUaYzFCHWP7Jzi24pz,spotify:track:52zQtUaYzFCHWP7Jzi24pz,https://api.spotify.com/v1/tracks/52zQtUaYzFCHWP7Jzi24pz,https://api.spotify.com/v1/audio-analysis/52zQtUaYzFCHWP7Jzi24pz,226667,4
2,0.582,0.829,11,-5.054,1,0.0741,0.209,0.0,0.0828,0.714,127.937,audio_features,74IgSPXYXx7v95NpCzGgsW,spotify:track:74IgSPXYXx7v95NpCzGgsW,https://api.spotify.com/v1/tracks/74IgSPXYXx7v95NpCzGgsW,https://api.spotify.com/v1/audio-analysis/74IgSPXYXx7v95NpCzGgsW,182467,4
3,0.689,0.947,1,-3.926,1,0.0897,0.00209,0.0,0.228,0.393,119.993,audio_features,0oeW7qeQnBULDmDWsq4w5o,spotify:track:0oeW7qeQnBULDmDWsq4w5o,https://api.spotify.com/v1/tracks/0oeW7qeQnBULDmDWsq4w5o,https://api.spotify.com/v1/audio-analysis/0oeW7qeQnBULDmDWsq4w5o,219390,4
4,0.262,0.789,10,-4.548,1,0.123,0.00422,0.0,0.325,0.487,171.009,audio_features,0SA903LGHxe4ExdRY2SqVH,spotify:track:0SA903LGHxe4ExdRY2SqVH,https://api.spotify.com/v1/tracks/0SA903LGHxe4ExdRY2SqVH,https://api.spotify.com/v1/audio-analysis/0SA903LGHxe4ExdRY2SqVH,199357,3
5,0.319,0.841,9,-4.232,0,0.147,0.0518,0.0,0.106,0.483,173.868,audio_features,4tViDtaHuSLnh7HVJTrKhs,spotify:track:4tViDtaHuSLnh7HVJTrKhs,https://api.spotify.com/v1/tracks/4tViDtaHuSLnh7HVJTrKhs,https://api.spotify.com/v1/audio-analysis/4tViDtaHuSLnh7HVJTrKhs,206960,3
6,0.68,0.604,4,-4.648,1,0.0489,0.164,0.0,0.0711,0.654,101.934,audio_features,3V7fPYLX3zQB2c0h5GGVoK,spotify:track:3V7fPYLX3zQB2c0h5GGVoK,https://api.spotify.com/v1/tracks/3V7fPYLX3zQB2c0h5GGVoK,https://api.spotify.com/v1/audio-analysis/3V7fPYLX3zQB2c0h5GGVoK,212310,4
7,0.346,0.35,2,-4.988,1,0.0328,0.876,1.98e-06,0.0708,0.315,126.444,audio_features,18xmRkPWE0sGUzFyNNAAhN,spotify:track:18xmRkPWE0sGUzFyNNAAhN,https://api.spotify.com/v1/tracks/18xmRkPWE0sGUzFyNNAAhN,https://api.spotify.com/v1/audio-analysis/18xmRkPWE0sGUzFyNNAAhN,229053,4
8,0.711,0.382,8,-10.146,1,0.04,0.625,0.0,0.241,0.62,128.023,audio_features,1NCZMAnGrzUmpBzkBlJjNw,spotify:track:1NCZMAnGrzUmpBzkBlJjNw,https://api.spotify.com/v1/tracks/1NCZMAnGrzUmpBzkBlJjNw,https://api.spotify.com/v1/audio-analysis/1NCZMAnGrzUmpBzkBlJjNw,175000,4
9,0.271,0.948,1,-2.207,1,0.263,0.0467,0.0,0.163,0.515,83.19,audio_features,0wdV94AXGRphrbkDWLNzVC,spotify:track:0wdV94AXGRphrbkDWLNzVC,https://api.spotify.com/v1/tracks/0wdV94AXGRphrbkDWLNzVC,https://api.spotify.com/v1/audio-analysis/0wdV94AXGRphrbkDWLNzVC,186600,4
10,0.402,0.151,4,-14.227,0,0.0395,0.907,0.0,0.0941,0.483,144.293,audio_features,2is19a6HY7ZdWP654IMhEE,spotify:track:2is19a6HY7ZdWP654IMhEE,https://api.spotify.com/v1/tracks/2is19a6HY7ZdWP654IMhEE,https://api.spotify.com/v1/audio-analysis/2is19a6HY7ZdWP654IMhEE,238013,4
11,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,audio_features,7kQkmyoHCEqwe7QwDbkSXM,spotify:track:7kQkmyoHCEqwe7QwDbkSXM,https://api.spotify.com/v1/tracks/7kQkmyoHCEqwe7QwDbkSXM,https://api.spotify.com/v1/audio-analysis/7kQkmyoHCEqwe7QwDbkSXM,190348,4
12,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
13,0.453,0.209,11,-11.917,1,0.223,0.587,0.0,0.119,0.216,169.316,audio_features,49MMefftWPcltNP4OOJGSs,spotify:track:49MMefftWPcltNP4OOJGSs,https://api.spotify.com/v1/tracks/49MMefftWPcltNP4OOJGSs,https://api.spotify.com/v1/audio-analysis/49MMefftWPcltNP4OOJGSs,237020,4
14,0.536,0.691,11,-5.81,0,0.0915,0.0043,0.0,0.308,0.455,202.048,audio_features,3IyWX691xysUXejrMif21g,spotify:track:3IyWX691xysUXejrMif21g,https://api.spotify.com/v1/tracks/3IyWX691xysUXejrMif21g,https://api.spotify.com/v1/audio-analysis/3IyWX691xysUXejrMif21g,199000,4
15,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,audio_features,2kJwzbxV2ppxnQoYw4GLBZ,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/audio-analysis/2kJwzbxV2ppxnQoYw4GLBZ,208687,4
16,0.718,0.631,7,-6.087,1,0.0673,0.224,0.0,0.0997,0.532,82.025,audio_features,6llVxshZN6xXIIEa1N8vYF,spotify:track:6llVxshZN6xXIIEa1N8vYF,https://api.spotify.com/v1/tracks/6llVxshZN6xXIIEa1N8vYF,https://api.spotify.com/v1/audio-analysis/6llVxshZN6xXIIEa1N8vYF,191829,4
17,0.629,0.306,1,-11.735,1,0.0424,0.884,0.0776,0.124,0.191,76.994,audio_features,47EWMOElkkbMp5m9SBkx7d,spotify:track:47EWMOElkkbMp5m9SBkx7d,https://api.spotify.com/v1/tracks/47EWMOElkkbMp5m9SBkx7d,https://api.spotify.com/v1/audio-analysis/47EWMOElkkbMp5m9SBkx7d,184638,1
18,0.549,0.238,1,-9.812,1,0.0405,0.892,0.0,0.109,0.343,123.635,audio_features,45BnLP9VBDtunsiwFUgvq4,spotify:track:45BnLP9VBDtunsiwFUgvq4,https://api.spotify.com/v1/tracks/45BnLP9VBDtunsiwFUgvq4,https://api.spotify.com/v1/audio-analysis/45BnLP9VBDtunsiwFUgvq4,231551,4
19,0.391,0.898,3,-2.953,1,0.076,0.0529,0.0,0.0621,0.638,179.936,audio_features,3geJxU83R4EzSjIymcXSt2,spotify:track:3geJxU83R4EzSjIymcXSt2,https://api.spotify.com/v1/tracks/3geJxU83R4EzSjIymcXSt2,https://api.spotify.com/v1/audio-analysis/3geJxU83R4EzSjIymcXSt2,210590,4
20,0.376,0.893,2,-4.43,1,0.0687,0.00944,0.0,0.177,0.484,178.052,audio_features,5cd8OJQSOonkyWHE8ucZMZ,spotify:track:5cd8OJQSOonkyWHE8ucZMZ,https://api.spotify.com/v1/tracks/5cd8OJQSOonkyWHE8ucZMZ,https://api.spotify.com/v1/audio-analysis/5cd8OJQSOonkyWHE8ucZMZ,189960,4
21,0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85,audio_features,4Ta3PhWmY50ZLU1uhKFKPE,spotify:track:4Ta3PhWmY50ZLU1uhKFKPE,https://api.spotify.com/v1/tracks/4Ta3PhWmY50ZLU1uhKFKPE,https://api.spotify.com/v1/audio-analysis/4Ta3PhWmY50ZLU1uhKFKPE,245700,4
22,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,audio_features,4j2Z0fivH9kDUhqG69Z3Aa,spotify:track:4j2Z0fivH9kDUhqG69Z3Aa,https://api.spotify.com/v1/tracks/4j2Z0fivH9kDUhqG69Z3Aa,https://api.spotify.com/v1/audio-analysis/4j2Z0fivH9kDUhqG69Z3Aa,206520,4
23,0.374,0.708,4,-12.768,1,0.0344,0.392,1.59e-05,0.123,0.607,88.013,audio_features,3C38jbs4CAKy3LqGG8j7FP,spotify:track:3C38jbs4CAKy3LqGG8j7FP,https://api.spotify.com/v1/tracks/3C38jbs4CAKy3LqGG8j7FP,https://api.spotify.com/v1/audio-analysis/3C38jbs4CAKy3LqGG8j7FP,424067,4
24,0.427,0.6,3,-5.512,1,0.0385,0.739,4.53e-06,0.172,0.254,80.603,audio_features,4FdlrVG63Nsx9I7dBtsh6J,spotify:track:4FdlrVG63Nsx9I7dBtsh6J,https://api.spotify.com/v1/tracks/4FdlrVG63Nsx9I7dBtsh6J,https://api.spotify.com/v1/audio-analysis/4FdlrVG63Nsx9I7dBtsh6J,208089,4
25,0.435,0.589,2,-6.968,1,0.0573,0.0129,0.0,0.101,0.0995,129.962,audio_features,0XWUhdDJM6CrsJVVxl8i1Q,spotify:track:0XWUhdDJM6CrsJVVxl8i1Q,https://api.spotify.com/v1/tracks/0XWUhdDJM6CrsJVVxl8i1Q,https://api.spotify.com/v1/audio-analysis/0XWUhdDJM6CrsJVVxl8i1Q,183760,4
26,0.423,0.499,5,-8.737,1,0.16,0.556,0.0,0.0877,0.318,80.013,audio_features,4gU6zGYwjsWm0bzO0H5rUZ,spotify:track:4gU6zGYwjsWm0bzO0H5rUZ,https://api.spotify.com/v1/tracks/4gU6zGYwjsWm0bzO0H5rUZ,https://api.spotify.com/v1/audio-analysis/4gU6zGYwjsWm0bzO0H5rUZ,211646,4
27,0.531,0.847,1,-3.907,1,0.0529,0.00743,0.0,0.0916,0.38,105.03,audio_features,4GxWee692irccH1QOmRRLl,spotify:track:4GxWee692irccH1QOmRRLl,https://api.spotify.com/v1/tracks/4GxWee692irccH1QOmRRLl,https://api.spotify.com/v1/audio-analysis/4GxWee692irccH1QOmRRLl,207679,4
28,0.386,0.937,1,-4.337,1,0.0444,0.00399,0.0,0.143,0.573,166.027,audio_features,1nmZEMww7GOfA8ffBoFEhG,spotify:track:1nmZEMww7GOfA8ffBoFEhG,https://api.spotify.com/v1/tracks/1nmZEMww7GOfA8ffBoFEhG,https://api.spotify.com/v1/audio-analysis/1nmZEMww7GOfA8ffBoFEhG,210653,4
29,0.7,0.784,0,-6.337,1,0.0297,0.018,0.0,0.161,0.563,117.023,audio_features,2elxgOyiNPM0QYjixON7cn,spotify:track:2elxgOyiNPM0QYjixON7cn,https://api.spotify.com/v1/tracks/2elxgOyiNPM0QYjixON7cn,https://api.spotify.com/v1/audio-analysis/2elxgOyiNPM0QYjixON7cn,205733,4
30,0.49,0.931,7,-5.12,1,0.045,0.00314,0.0251,0.0841,0.783,92.014,audio_features,64vxfZQQgf7ncE4BOy9Jhg,spotify:track:64vxfZQQgf7ncE4BOy9Jhg,https://api.spotify.com/v1/tracks/64vxfZQQgf7ncE4BOy9Jhg,https://api.spotify.com/v1/audio-analysis/64vxfZQQgf7ncE4BOy9Jhg,190010,4
31,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4
32,0.379,0.878,1,-4.338,0,0.0359,0.042,0.00431,0.146,0.381,102.023,audio_features,3SPVZJzf1Hs30rB6yXVf2y,spotify:track:3SPVZJzf1Hs30rB6yXVf2y,https://api.spotify.com/v1/tracks/3SPVZJzf1Hs30rB6yXVf2y,https://api.spotify.com/v1/audio-analysis/3SPVZJzf1Hs30rB6yXVf2y,211453,4
